"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 11 17:10:32 IST 2026","Wed Mar 11 17:11:12 IST 2026","39934","[ROCKET] Ixigo ","Smoke Tests Tests","[PACKAGE] Hotels -> Smoke Tests","Hotels_Smoke Tests","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:39 | Test Run ID: SmokeTests_SearchingHL_TR057 | Result ID: TC001_TR057"
"passed","Fri Mar 13 12:39:00 IST 2026","Fri Mar 13 12:40:42 IST 2026","101873","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:01:41 | Test Run ID: Sample_SearchingHL_TR118 | Result ID: TC001_TR118"
"passed","Wed Mar 11 16:55:13 IST 2026","Wed Mar 11 16:55:56 IST 2026","42961","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:42 | Test Run ID: Sample_SearchingHL_TR102 | Result ID: TC001_TR102"
"passed","Fri Mar 13 13:17:52 IST 2026","Fri Mar 13 13:18:50 IST 2026","57835","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:57 | Test Run ID: Sample_SearchingHL_TR126 | Result ID: TC001_TR126"
"broken","Thu Mar 12 13:12:48 IST 2026","Thu Mar 12 13:13:35 IST 2026","47520","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:47 | Test Run ID: Sample_SearchingHL_TR111 | Result ID: TC001_TR111"
"passed","Fri Mar 13 13:14:36 IST 2026","Fri Mar 13 13:15:37 IST 2026","61512","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:01:01 | Test Run ID: Sample_SearchingHL_TR123 | Result ID: TC001_TR123"
"passed","Wed Mar 11 16:54:14 IST 2026","Wed Mar 11 16:54:54 IST 2026","40234","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:40 | Test Run ID: Sample_SearchingHL_TR101 | Result ID: TC001_TR101"
"broken","Wed Mar 11 16:13:03 IST 2026","Wed Mar 11 16:13:28 IST 2026","25637","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:25 | Test Run ID: Sample_SearchingHL_TR099 | Result ID: TC001_TR099"
"broken","Wed Mar 11 17:11:24 IST 2026","Wed Mar 11 17:12:03 IST 2026","38757","[ROCKET] Ixigo ","Smoke Tests Tests","[PACKAGE] Hotels -> Smoke Tests","Hotels_Smoke Tests","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:38 | Test Run ID: SmokeTests_SearchingHL_TR058 | Result ID: TC001_TR058"
"passed","Fri Mar 13 15:42:20 IST 2026","Fri Mar 13 15:43:07 IST 2026","46848","[ROCKET] Ixigo ","Regression Tests Tests","[PACKAGE] Flights -> Regression Tests","Flights_Regression Tests","SearchingFL","[Ixigo_Flights_SearchingFL_TC001] SearchingFL","Execution Time: 0:00:46 | Test Run ID: RegressionTests_SearchingFL_TR027 | Result ID: TC001_TR027"
"passed","Fri Mar 13 15:25:51 IST 2026","Fri Mar 13 15:26:29 IST 2026","37694","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:37 | Test Run ID: Sample_SearchingHL_TR128 | Result ID: TC001_TR128"
"passed","Fri Mar 13 15:23:22 IST 2026","Fri Mar 13 15:24:12 IST 2026","49807","[ROCKET] Ixigo ","Regression Tests Tests","[PACKAGE] Flights -> Regression Tests","Flights_Regression Tests","SearchingFL","[Ixigo_Flights_SearchingFL_TC001] SearchingFL","Execution Time: 0:00:49 | Test Run ID: RegressionTests_SearchingFL_TR024 | Result ID: TC001_TR024"
"passed","Fri Mar 13 11:36:39 IST 2026","Fri Mar 13 11:37:26 IST 2026","46847","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:46 | Test Run ID: Sample_SearchingHL_TR112 | Result ID: TC001_TR112"
"passed","Fri Mar 13 20:10:28 IST 2026","Fri Mar 13 20:11:13 IST 2026","44218","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:44 | Test Run ID: Sample_SearchingHL_TR131 | Result ID: TC001_TR131"
"passed","Fri Mar 13 15:13:36 IST 2026","Fri Mar 13 15:14:25 IST 2026","48833","[ROCKET] Ixigo ","Regression Tests Tests","[PACKAGE] Flights -> Regression Tests","Flights_Regression Tests","SearchingFL","[Ixigo_Flights_SearchingFL_TC001] SearchingFL","Execution Time: 0:00:48 | Test Run ID: RegressionTests_SearchingFL_TR023 | Result ID: TC001_TR023"
"passed","Fri Mar 13 15:26:40 IST 2026","Fri Mar 13 15:27:22 IST 2026","42108","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:42 | Test Run ID: Sample_SearchingHL_TR129 | Result ID: TC001_TR129"
"broken","Fri Mar 13 11:39:17 IST 2026","Fri Mar 13 11:39:53 IST 2026","36603","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:36 | Test Run ID: Sample_SearchingHL_TR115 | Result ID: TC001_TR115"
"broken","Thu Mar 12 12:57:26 IST 2026","Thu Mar 12 12:58:12 IST 2026","46537","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:46 | Test Run ID: Sample_SearchingHL_TR106 | Result ID: TC001_TR106"
"passed","Fri Mar 13 12:51:41 IST 2026","Fri Mar 13 12:52:38 IST 2026","56972","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:56 | Test Run ID: Sample_SearchingHL_TR119 | Result ID: TC001_TR119"
"passed","Fri Mar 13 15:25:04 IST 2026","Fri Mar 13 15:25:40 IST 2026","35556","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:35 | Test Run ID: Sample_SearchingHL_TR127 | Result ID: TC001_TR127"
"passed","Fri Mar 13 12:55:16 IST 2026","Fri Mar 13 12:56:14 IST 2026","58078","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:58 | Test Run ID: Sample_SearchingHL_TR122 | Result ID: TC001_TR122"
"broken","Thu Mar 12 12:58:31 IST 2026","Thu Mar 12 12:59:17 IST 2026","45786","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:45 | Test Run ID: Sample_SearchingHL_TR107 | Result ID: TC001_TR107"
"passed","Thu Mar 12 13:09:43 IST 2026","Thu Mar 12 13:10:23 IST 2026","40484","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:40 | Test Run ID: Sample_SearchingHL_TR108 | Result ID: TC001_TR108"
"broken","Thu Mar 12 12:56:20 IST 2026","Thu Mar 12 12:57:08 IST 2026","48038","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:48 | Test Run ID: Sample_SearchingHL_TR105 | Result ID: TC001_TR105"
"passed","Fri Mar 13 13:16:53 IST 2026","Fri Mar 13 13:17:35 IST 2026","41782","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:41 | Test Run ID: Sample_SearchingHL_TR125 | Result ID: TC001_TR125"
"broken","Fri Mar 13 11:37:45 IST 2026","Fri Mar 13 11:38:26 IST 2026","41119","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:41 | Test Run ID: Sample_SearchingHL_TR113 | Result ID: TC001_TR113"
